,Date,Conference,Conference_Total_Votes,Total_Daily_Votes,Conference_Share,Team_Count,Conference_Share_Per_Team
0,2017-08-14,ACC,4702,19825,0.23717528373266078,17,0.01395148727839181
1,2017-08-14,American Athletic,331,19825,0.01669609079445145,14,0.0011925779138893893
2,2017-08-14,Big 12,1638,19825,0.08262295081967214,16,0.0051639344262295085
3,2017-08-14,Big Ten,6952,19825,0.3506683480453972,18,0.019481574891410957
4,2017-08-14,Conference USA,0,19825,0.0,10,0.0
5,2017-08-14,FBS Independents,65,19825,0.003278688524590164,3,0.001092896174863388
6,2017-08-14,Mid-American,0,19825,0.0,12,0.0
7,2017-08-14,Mountain West,46,19825,0.0023203026481715006,12,0.00019335855401429172
8,2017-08-14,Pac-12,133,19825,0.006708701134930643,2,0.0033543505674653216
9,2017-08-14,SEC,5954,19825,0.300327868852459,16,0.018770491803278687
10,2017-08-14,Sun Belt,4,19825,0.000201765447667087,14,1.4411817690506215e-05
11,2017-08-15,ACC,4702,19825,0.23717528373266078,17,0.01395148727839181
12,2017-08-15,American Athletic,331,19825,0.01669609079445145,14,0.0011925779138893893
13,2017-08-15,Big 12,1638,19825,0.08262295081967214,16,0.0051639344262295085
14,2017-08-15,Big Ten,6952,19825,0.3506683480453972,18,0.019481574891410957
15,2017-08-15,Conference USA,0,19825,0.0,10,0.0
16,2017-08-15,FBS Independents,65,19825,0.003278688524590164,3,0.001092896174863388
17,2017-08-15,Mid-American,0,19825,0.0,12,0.0
18,2017-08-15,Mountain West,46,19825,0.0023203026481715006,12,0.00019335855401429172
19,2017-08-15,Pac-12,133,19825,0.006708701134930643,2,0.0033543505674653216
20,2017-08-15,SEC,5954,19825,0.300327868852459,16,0.018770491803278687
21,2017-08-15,Sun Belt,4,19825,0.000201765447667087,14,1.4411817690506215e-05
22,2017-08-16,ACC,4702,19825,0.23717528373266078,17,0.01395148727839181
23,2017-08-16,American Athletic,331,19825,0.01669609079445145,14,0.0011925779138893893
24,2017-08-16,Big 12,1638,19825,0.08262295081967214,16,0.0051639344262295085
25,2017-08-16,Big Ten,6952,19825,0.3506683480453972,18,0.019481574891410957
26,2017-08-16,Conference USA,0,19825,0.0,10,0.0
27,2017-08-16,FBS Independents,65,19825,0.003278688524590164,3,0.001092896174863388
28,2017-08-16,Mid-American,0,19825,0.0,12,0.0
29,2017-08-16,Mountain West,46,19825,0.0023203026481715006,12,0.00019335855401429172
30,2017-08-16,Pac-12,133,19825,0.006708701134930643,2,0.0033543505674653216
31,2017-08-16,SEC,5954,19825,0.300327868852459,16,0.018770491803278687
32,2017-08-16,Sun Belt,4,19825,0.000201765447667087,14,1.4411817690506215e-05
33,2017-08-17,ACC,4702,19825,0.23717528373266078,17,0.01395148727839181
34,2017-08-17,American Athletic,331,19825,0.01669609079445145,14,0.0011925779138893893
35,2017-08-17,Big 12,1638,19825,0.08262295081967214,16,0.0051639344262295085
36,2017-08-17,Big Ten,6952,19825,0.3506683480453972,18,0.019481574891410957
37,2017-08-17,Conference USA,0,19825,0.0,10,0.0
38,2017-08-17,FBS Independents,65,19825,0.003278688524590164,3,0.001092896174863388
39,2017-08-17,Mid-American,0,19825,0.0,12,0.0
40,2017-08-17,Mountain West,46,19825,0.0023203026481715006,12,0.00019335855401429172
41,2017-08-17,Pac-12,133,19825,0.006708701134930643,2,0.0033543505674653216
42,2017-08-17,SEC,5954,19825,0.300327868852459,16,0.018770491803278687
43,2017-08-17,Sun Belt,4,19825,0.000201765447667087,14,1.4411817690506215e-05
44,2017-08-18,ACC,4702,19825,0.23717528373266078,17,0.01395148727839181
45,2017-08-18,American Athletic,331,19825,0.01669609079445145,14,0.0011925779138893893
46,2017-08-18,Big 12,1638,19825,0.08262295081967214,16,0.0051639344262295085
47,2017-08-18,Big Ten,6952,19825,0.3506683480453972,18,0.019481574891410957
48,2017-08-18,Conference USA,0,19825,0.0,10,0.0
