,Date,Unnamed: 0,Year,Week,air force,alabama,app state,arizona,arizona state,arkansas,arkansas state,army,auburn,ball state,baylor,boise state,boston college,buffalo,byu,california,cincinnati,clemson,coastal carolina,colorado,colorado state,duke,east carolina,florida,florida atlantic,florida state,fresno state,georgia,georgia southern,georgia tech,hawai'i,houston,illinois,indiana,iowa,iowa state,james madison,kansas,kansas state,kentucky,liberty,louisiana,louisiana tech,louisville,lsu,marshall,maryland,memphis,miami,miami (oh),michigan,michigan state,minnesota,mississippi state,missouri,navy,nc state,nebraska,nevada,new mexico state,north carolina,north texas,northern illinois,northwestern,notre dame,ohio,ohio state,oklahoma,oklahoma state,ole miss,oregon,oregon state,penn state,pittsburgh,purdue,rutgers,san diego state,san josé state,smu,south alabama,south carolina,south florida,stanford,syracuse,tcu,temple,tennessee,texas,texas a&m,texas state,texas tech,toledo,troy,tulane,tulsa,uab,ucf,ucla,unlv,usc,utah,utah state,utsa,vanderbilt,virginia,virginia tech,wake forest,washington,washington state,west virginia,western michigan,wisconsin,wyoming,Total_Points
0,2017-08-14,0,2017,1,0,1513,4,0,0,0,0,0,880,0,0,37,0,0,5,0,0,1201,0,18,0,0,0,624,0,1396,0,690,0,0,0,19,0,0,0,0,0,0,317,3,0,0,0,629,784,0,0,0,492,0,881,1,0,0,0,0,26,4,0,0,0,0,0,25,65,0,1414,1170,889,0,21,0,1196,23,0,0,9,0,0,0,0,327,695,0,98,0,114,173,3,0,0,0,0,0,4,0,0,9,0,1325,85,0,0,0,0,240,0,1150,133,207,0,926,0,19825
1,2017-08-15,0,2017,1,0,1513,4,0,0,0,0,0,880,0,0,37,0,0,5,0,0,1201,0,18,0,0,0,624,0,1396,0,690,0,0,0,19,0,0,0,0,0,0,317,3,0,0,0,629,784,0,0,0,492,0,881,1,0,0,0,0,26,4,0,0,0,0,0,25,65,0,1414,1170,889,0,21,0,1196,23,0,0,9,0,0,0,0,327,695,0,98,0,114,173,3,0,0,0,0,0,4,0,0,9,0,1325,85,0,0,0,0,240,0,1150,133,207,0,926,0,19825
2,2017-08-16,0,2017,1,0,1513,4,0,0,0,0,0,880,0,0,37,0,0,5,0,0,1201,0,18,0,0,0,624,0,1396,0,690,0,0,0,19,0,0,0,0,0,0,317,3,0,0,0,629,784,0,0,0,492,0,881,1,0,0,0,0,26,4,0,0,0,0,0,25,65,0,1414,1170,889,0,21,0,1196,23,0,0,9,0,0,0,0,327,695,0,98,0,114,173,3,0,0,0,0,0,4,0,0,9,0,1325,85,0,0,0,0,240,0,1150,133,207,0,926,0,19825
3,2017-08-17,0,2017,1,0,1513,4,0,0,0,0,0,880,0,0,37,0,0,5,0,0,1201,0,18,0,0,0,624,0,1396,0,690,0,0,0,19,0,0,0,0,0,0,317,3,0,0,0,629,784,0,0,0,492,0,881,1,0,0,0,0,26,4,0,0,0,0,0,25,65,0,1414,1170,889,0,21,0,1196,23,0,0,9,0,0,0,0,327,695,0,98,0,114,173,3,0,0,0,0,0,4,0,0,9,0,1325,85,0,0,0,0,240,0,1150,133,207,0,926,0,19825
4,2017-08-18,0,2017,1,0,1513,4,0,0,0,0,0,880,0,0,37,0,0,5,0,0,1201,0,18,0,0,0,624,0,1396,0,690,0,0,0,19,0,0,0,0,0,0,317,3,0,0,0,629,784,0,0,0,492,0,881,1,0,0,0,0,26,4,0,0,0,0,0,25,65,0,1414,1170,889,0,21,0,1196,23,0,0,9,0,0,0,0,327,695,0,98,0,114,173,3,0,0,0,0,0,4,0,0,9,0,1325,85,0,0,0,0,240,0,1150,133,207,0,926,0,19825
5,2017-08-19,0,2017,1,0,1513,4,0,0,0,0,0,880,0,0,37,0,0,5,0,0,1201,0,18,0,0,0,624,0,1396,0,690,0,0,0,19,0,0,0,0,0,0,317,3,0,0,0,629,784,0,0,0,492,0,881,1,0,0,0,0,26,4,0,0,0,0,0,25,65,0,1414,1170,889,0,21,0,1196,23,0,0,9,0,0,0,0,327,695,0,98,0,114,173,3,0,0,0,0,0,4,0,0,9,0,1325,85,0,0,0,0,240,0,1150,133,207,0,926,0,19825
6,2017-08-20,0,2017,1,0,1513,4,0,0,0,0,0,880,0,0,37,0,0,5,0,0,1201,0,18,0,0,0,624,0,1396,0,690,0,0,0,19,0,0,0,0,0,0,317,3,0,0,0,629,784,0,0,0,492,0,881,1,0,0,0,0,26,4,0,0,0,0,0,25,65,0,1414,1170,889,0,21,0,1196,23,0,0,9,0,0,0,0,327,695,0,98,0,114,173,3,0,0,0,0,0,4,0,0,9,0,1325,85,0,0,0,0,240,0,1150,133,207,0,926,0,19825
7,2017-08-21,1,2017,2,0,1524,0,0,0,0,0,0,873,0,0,22,0,0,0,2,0,1317,0,65,0,0,0,164,0,976,0,685,0,0,0,14,0,0,3,0,0,0,398,4,0,0,0,529,898,0,45,0,537,0,1051,1,0,1,0,1,0,1,0,0,0,0,0,20,141,0,1445,1253,950,0,44,0,1303,1,0,0,11,0,0,0,44,207,772,0,154,0,124,0,0,0,4,0,0,0,0,0,0,82,0,1224,96,0,0,1,0,490,0,1083,216,70,0,979,0,19825
8,2017-08-22,1,2017,2,0,1524,0,0,0,0,0,0,873,0,0,22,0,0,0,2,0,1317,0,65,0,0,0,164,0,976,0,685,0,0,0,14,0,0,3,0,0,0,398,4,0,0,0,529,898,0,45,0,537,0,1051,1,0,1,0,1,0,1,0,0,0,0,0,20,141,0,1445,1253,950,0,44,0,1303,1,0,0,11,0,0,0,44,207,772,0,154,0,124,0,0,0,4,0,0,0,0,0,0,82,0,1224,96,0,0,1,0,490,0,1083,216,70,0,979,0,19825
9,2017-08-23,1,2017,2,0,1524,0,0,0,0,0,0,873,0,0,22,0,0,0,2,0,1317,0,65,0,0,0,164,0,976,0,685,0,0,0,14,0,0,3,0,0,0,398,4,0,0,0,529,898,0,45,0,537,0,1051,1,0,1,0,1,0,1,0,0,0,0,0,20,141,0,1445,1253,950,0,44,0,1303,1,0,0,11,0,0,0,44,207,772,0,154,0,124,0,0,0,4,0,0,0,0,0,0,82,0,1224,96,0,0,1,0,490,0,1083,216,70,0,979,0,19825
