Rank,Username,Yield
1,DraftWizard12,694.13%
2,FantasyFlagFlyer,402.39%
3,HelmetHero,400.07%
4,BigGameGuru,394.29%
5,SidelineSamurai,92.79%
6,DefenseDream24,81.71%
7,PlayActionAce,71.10%
8,KickoffKing24,70.04%
9,KickReturnRuler,59.96%
10,PigskinPundit,55.03%
11,HelmetHeroics,49.36%
12,DraftDayLegend,37.55%
12,RosterRevolution,37.55%
13,HailMaryMaster,36.18%
14,DownAndOutDreamer,35.99%
15,CleatClasher,26.46%
16,HuddleHype,25.61%
17,AudibleAdmirer,20.44%
18,HelmetHuddle,20.36%
19,KickReturnRuler,19.82%
20,FantasyFormationKing,19.76%
21,FirstAndTenTycoon,19.57%
22,DraftWizard12,17.73%
23,SackSavvy,17.31%
24,HailMaryHunter,16.80%
25,BlitzBoss22,15.07%
